speaker,sib_m1,sib_m2,sib_m3,sib_m4,sib_hi,sib_peak,sib_frac
ls-101,6272.229573983712,1268.822907205002,-1.2398647181578886,2.157958097319187,0.8825022027137874,6760.0,0.020511034490764926
ls-1018,6040.478717260701,1256.6160606702479,-0.5068189181667602,-0.3381667532004,0.7955531235191888,6840.0,0.08732330141358868
ls-102,6497.744641201036,831.5191213650531,-2.204646058059084,9.495361452776933,0.9484722425035151,6440.0,0.04243286426284794
ls-1028,5002.625037385993,1360.616784944858,0.08126006846589888,-1.0254366562852437,0.47820218039190426,4840.0,0.016921837228041903
ls-1040,4812.364545693635,936.0343330445398,0.8876983447971928,1.7444330962164356,0.33603656995716724,4200.0,0.012762762762762763
ls-1050,6424.523391754043,869.5679608192935,-0.6451085085731283,1.8042069550369,0.9485934246341934,6480.0,0.08916666666666667
ls-1051,3393.1426829217116,698.5101165539634,1.8027161586901208,7.093740249320519,0.029748441586634318,3320.0,0.005141388174807198
ls-1069,5913.94488725227,1000.9157721439791,0.2724891293974822,0.33694324680716115,0.8814381739851215,5360.0,0.01464968152866242
ls-107,4445.631581369516,1170.5872604320473,0.024247226865493438,0.2960230862387857,0.38088977013099323,4580.0,0.01576016279590394
ls-1079,5351.354377112559,828.4495717271819,-0.059845732151195014,4.44994489639603,0.8379727728092378,5360.0,0.0635593220338983
ls-1084,4083.8634398972567,644.5050943489775,1.1412873732160278,4.768466662329868,0.10873880482752456,3960.0,0.015493867010974823
ls-1085,3813.727399984843,799.9425925562028,1.0899410148523105,4.0486110053362765,0.05765141804291947,3680.0,0.013189448441247002
ls-1097,5424.47186218382,1233.8958994736013,-0.34812441002291333,-0.4332050904109237,0.6525841385156547,6560.0,0.010766307789740342
ls-1098,6504.997334897814,884.6081787995089,-0.4778904131609439,0.9536152406246274,0.9623993972815943,6200.0,0.06734867860187553
ls-110,3805.2666926430484,946.1944621166674,0.582370413985013,1.3700474823883662,0.10078123978097175,3400.0,0.009375
ls-1107,4244.8419710745475,975.4061745623828,0.3851782057476244,2.1536974565379867,0.17199914577458375,3920.0,0.017045454545454544
ls-1116,4516.772312286925,917.9634641353603,0.8659348715620376,2.7059790592184267,0.23808794840045525,4340.0,0.05624630697658935
ls-1121,5119.169301071197,899.2560121839505,-0.39643561662322896,2.803368819640305,0.6114136035709816,5260.0,0.03532748346181182
ls-1124,5160.598051516738,1151.8555913040313,-0.6663392050448228,1.4215029550026776,0.6164518763391096,5280.0,0.07515233581584292
ls-1152,5865.30676082082,1124.1694643534506,-0.39566958125208923,0.5610142069884894,0.7695564444040686,5900.0,0.03118478404437987
ls-1154,5886.388460410016,911.7847625884914,-0.060533262040342296,1.441130424065671,0.8917459089115458,5460.0,0.10644118103085476
