speaker,gender,n_clips,f0,f1,f2,f3,f4,f5,vtl,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,centroid,tilt,rolloff,h1h2,vsa,f1_disp,f2_disp,vsa_hull,vsa_hull_norm,f0_range,traj_f12,spec_rate,f2_range,sib_m1,sib_m2,sib_m3,sib_m4,sib_hi,sib_peak
ls-101,male,4,158.96075651817074,558.5375259587493,1907.5116192447313,2675.454641366006,3784.753271235997,5110.909337335915,15.927610915464907,0.7156070030566011,-0.2773157050380512,0.04068665085381926,0.25409870111431976,0.08139435447944232,0.07095234630447611,-0.0650996919337424,0.03854010120698284,0.04341426437285423,-0.029565226317025302,-0.031937053999882496,0.019031183898965826,1013.781878420846,-6.559147235247687,0.01662613018549766,5.722268568139299,234563.0054043011,639.793047925795,718.9785668185224,1142478.4757869164,0.8434708303678288,7.8184361370403685,352.8811026997307,0.0938037272124761,1429.0820810397754,6272.229573983781,1264.4643419288802,-1.2206163922200224,2.1617894837771736,0.8825022027137979,6760
ls-1018,male,4,141.91008302258183,572.5837668278449,1906.2911453784777,2859.3197718016936,4000.5524936363354,4791.742008843212,15.104046242269117,0.1345253642756412,-0.20012800423754212,0.1939776437637192,0.13019155885738182,0.13287221292413615,-0.10696555364623035,0.06318711019479935,0.02819710690243064,-0.061825039691763284,-0.09342240475284717,0.00474088239172908,0.049851357984026484,1329.5045185085496,-3.8059878790308836,0.03857893962490215,2.566706847587717,262384.4302938211,447.98890084984305,773.4160254217269,1381001.1610067529,0.9338068599071635,10.012691585659212,336.8904720121219,0.08628894472599005,1624.9797625390647,6040.478717260969,1256.6160606702704,-0.5068189181672038,-0.3381667532002173,0.7955531235192452,6840
ls-102,female,4,85.25085797277157,774.934861005698,2055.1643283934036,3268.436415558123,4429.300754963014,5499.999999999999,13.527806811432814,0.1969593247856319,-0.06565533905241658,0.14213103695011337,0.08271081596984046,-0.06427166308616672,-0.013241074867288975,0.060797751634617286,-0.08977736856261259,-0.0396858922970802,0.02219967508249178,-0.024381117203207334,-0.013379091805861698,1057.6850078292503,-4.211839798955688,0.013966121788537341,4.222411903011688,173042.58489237117,613.804978265239,622.8053346031811,962299.020082034,0.5537213118008604,19.26437475509134,202.99166812621124,0.07634068152625421,1302.724833476167,6476.141238711902,866.368521985516,-2.189352617729795,8.752082134442523,0.9364449222167183,6680
ls-1028,male,1,152.83691218288703,420.8677414457493,1506.894262211343,2549.3072855972614,4008.6380784450885,4875.431171408387,16.066081737792,0.9830312212457615,0.20748010578883466,0.05728586611715373,0.07095041945729416,0.17471218956824158,-0.06539711905232876,-0.002410884070888856,0.012036800860334146,0.025700974995717364,-0.002054297525170071,-0.07299667508218896,-0.02734214583341782,747.8481535223575,-6.887107483592574,0.002200340799175522,7.410544748943073,162845.5701171894,298.7015915710167,774.2508938623787,927826.2400825806,1.1079056391831084,21.30733498529685,253.0550298411875,0.09689110197058814,1326.8667698686959,5002.625037386134,1360.6167849448643,0.08126006846580627,-1.0254366562854322,0.4782021803919125,4840
ls-1040,male,3,149.75019510453134,485.097529878272,1586.1613654326334,2584.7510163229676,3709.3856338806318,4586.2442586344405,16.650237702051548,1.0016624900275048,-0.16421246629731956,0.2617864427329492,-0.06637100215730299,0.10912939447129572,-0.038872386584779345,-0.030111165199674585,-0.08204489948050005,-0.059220682439199736,-0.1357349417039429,-0.15273980442995935,-0.06982564364937006,910.1729088252162,-7.460205067445862,0.005445447880389724,-0.3341976723940501,70307.9029621955,147.19959087470625,465.8747210243789,766321.3482845792,0.9253198458776201,20.277121114915342,128.40704637944796,0.0958120488152422,1019.7418125866523,4812.364545693685,936.0343330445448,0.8876983447968464,1.7444330962160342,0.3360365699571745,4200
ls-1050,female,1,177.5021111005143,559.4154686609581,1896.9126780895676,2903.6207691283144,3983.387091577955,4537.757893312259,15.107302859036723,0.3119355935489281,-0.3021377265485385,0.23992358433742422,0.01292042770126539,0.21918391641301313,-0.14555168867549964,0.0182420571613478,0.02586252675082961,-0.1548371005024484,-0.08685020480023865,-0.027907560343757448,0.022806971362663936,1403.793002866249,-4.7601265129889345,0.06538053559358104,3.9454856022627482,167401.23385428076,280.3227943551818,633.2235389374437,987765.0489986555,0.7637480018265252,10.053220351351152,255.33900507625344,0.0824379968365701,1359.7552080449495,6424.5233917542655,869.5679608193319,-0.6451085085742515,1.8042069550400068,0.9485934246342079,6480
ls-1051,female,4,176.48372042670323,558.0974356765312,1772.3176966974024,2568.445042113457,3629.0419596480556,4528.36778298211,16.631234412876864,1.3265258993688942,-0.5823818305901096,0.03708255532193995,0.09537664108115747,0.133517793672567,-0.0369320119829728,-0.05454064521723745,0.010222188193005025,-0.05885546055471621,-0.09948812057704452,-0.03433666606813669,-0.01796222877509311,977.5372517107016,-10.354918002623634,0.021023615498766152,2.8624601654705124,186861.55752315954,343.45980364877266,693.5060329062882,1104351.776435037,0.8679544672048315,24.318584358915945,187.57905113280316,0.094047763433078,1398.9364968403659,3393.142682921746,698.5101165539672,1.8027161586899556,7.093740249319848,0.029748441586634658,3320
ls-1066,female,4,175.721120763969,436.6459732133292,1720.8036632475923,2700.9060359565915,4121.158926588586,4872.997678914956,15.35966956010025,1.2966938959472034,0.2301844754149583,0.2755107512035757,0.06379267545474245,0.34755214340364493,0.00007994365405505563,-0.0810175717689128,0.009167222826474725,-0.15069315217713442,-0.11557385363148229,-0.06098784066352691,-0.04236872400500842,557.8741333024955,-8.74817928791903,0.0006743718922822342,1.785152581599438,79747.09247918674,185.23955778738002,538.5428105733959,717750.7665458014,0.9544195261987287,19.485414289664845,185.69004042730765,0.08824267036177452,1229.2701440074325,,,,,,
ls-1069,female,1,174.96139550098914,477.2376643712779,1705.0830420934649,3181.31387032822,4353.174684531354,5031.132404309283,14.14242664555604,0.24298793788604264,0.5491863432213301,0.3133932876146947,-0.07218011006360626,0.04717314209027752,-0.054628112570432416,0.09631955597937432,-0.04813107151234692,-0.14917188066750414,-0.035166474293514834,-0.046536105642555545,-0.047094760802485154,978.6905256624511,-4.438468402811387,0.006557690499267581,2.10249171990578,132479.98001625203,279.20481792841065,629.1632416106427,961623.928114949,1.0233990524671217,19.895863764408055,222.14028255760812,0.09308399396244489,1829.535617562342,5913.944887252299,1000.9157721439811,0.27248912939740083,0.3369432468071132,0.8814381739851251,5400
ls-107,male,2,151.4876869851459,362.95616446739336,1617.79713572828,2628.319759163857,4056.3284509659106,4825.887665283439,15.723179746357566,0.490758876790529,0.45004415792739016,0.22202340582087116,-0.028175364820575127,0.2865925103246576,0.09471332208378958,0.022237088082791772,-0.04062862956420686,0.08022857711515868,-0.02867155042630392,-0.0003373477996069362,-0.02641306661163317,665.1842203195154,-5.381274851991929,0.0017757950083151545,7.158260748421407,206696.42739237868,317.0532256738078,816.2163580211468,1076255.156240117,1.2218140772343278,11.73023895328224,288.4912863519742,0.09125069499051888,1427.036300850866,4445.631581369809,1170.5872604320928,0.024247226864539867,0.2960230862388121,0.38088977013102254,4580
ls-1079,female,4,170.87412553760686,544.3195720082549,1649.2147666592218,2821.31074682862,3874.9580876060163,4628.429410056438,15.770651537727902,0.35830882291861466,-0.1286912889236968,0.26954354057991303,-0.09338170680068787,0.09154977107529351,-0.1546977229283391,-0.011970524922820414,-0.03467774411853427,-0.07178588041568854,-0.10383322938063677,-0.060479804335882625,0.004467304354773613,1281.776768579805,-5.6946042212641705,0.0307754371743833,3.4693650966228606,125324.83044043194,261.265142032172,590.0491400672397,906251.1407663586,0.8387720345375976,15.683082182741947,207.19818419327794,0.08630227830686091,1287.6215178960078,5351.3543771127115,828.4495717272023,-0.05984573215160774,4.449944896395142,0.8379727728092521,5360
ls-1084,female,4,163.88091867218088,475.0646020367636,1703.1358391184958,2915.5595276446593,4069.7776696469396,4482.532004923495,15.12930372084363,1.0742986836511388,0.10487142952570025,0.43268942350187434,-0.13848755688455505,0.20934046100707465,-0.0016516915916080337,0.0017001544260695344,-0.030728188295553925,-0.16797024345501643,-0.030715209299816984,-0.10306032907395282,-0.10338075815608895,677.0244213440602,-8.817071801161742,0.0017047909557594914,3.0849985999027147,128310.6791901816,120.16699322454195,673.1821235278309,997212.3561064248,1.0864121155395148,16.423259358465003,187.7172352936169,0.08921188921790565,1219.233920326622,4083.8634398973495,644.505094348985,1.1412873732157107,4.768466662328981,0.10873880482752679,3960
ls-1085,male,1,162.85128178286377,702.0764157474041,1819.817250315712,2708.446141556915,3754.543010399526,4892.657575805705,15.983278247404307,0.5093688606775749,-0.2942731494587991,0.08782616243672212,0.17550905627257501,-0.00028109616139311284,-0.08278598700113997,-0.07793376341404468,-0.076509279300915,0.08590494234724652,0.01150704874962751,-0.015127785264149127,-0.03750452454410911,1298.5860674244414,-5.432317665764991,0.05690552383788824,-1.1324875745820533,246810.0688833765,451.2901967848468,1071.690605894813,1126352.8468716359,0.8195374707000027,15.849384009328386,366.82105779400996,0.08938356019866023,1461.2849648057193,3813.7273999849263,799.9425925562116,1.0899410148520254,4.048611005335776,0.05765141804292036,3680
ls-1093,female,1,179.31048947273158,332.3015593336467,2090.5070612724885,3088.8549551309593,4250.700149150411,5499.999999999999,14.188367862685332,0.3709323900053267,0.18284687356829202,0.4573514512339708,0.24193312723939223,0.2941253389048921,0.042155756287744525,0.062347453878918706,0.08331104483468006,-0.12406431488752903,0.06329774575605299,0.013005819117054326,-0.05534390823435673,698.0300467983698,-4.542163934489269,0.002932606085075279,8.409137361106453,160520.6976409949,238.74096039022356,638.936985790788,1102214.3786793998,1.1174124863284514,16.93294268067634,218.08717848870197,0.09457197542098311,1171.1798899474743,,,,,,
ls-1094,male,3,142.5459839579069,380.7169208596003,1502.9342495976744,2590.859289259929,3472.7566413588447,3846.124282871999,17.1356156310751,1.5075031433259842,-0.6931658929624418,0.8174175594716157,0.09258727095503234,-0.02516671738985836,0.15221799642921494,-0.13542910896021018,-0.015911607801238518,0.0685605821131648,-0.1652217041316153,-0.11427133767271495,-0.006915082311806958,699.1210674035071,-12.26979302651256,0.007504998902868407,1.3779617043823447,58669.488034658665,208.06159869764474,731.1404411803005,277821.31261705444,0.47323676028405987,12.44701916741076,128.44260152360098,0.10096240718106302,1392.4255863988624,,,,,,
ls-1097,male,4,145.02731571870618,293.24473085152897,1525.8150664018228,2753.3927799674757,3997.614609687105,4824.645308846356,15.710732444805817,0.7059756202985981,0.224888875845657,0.2237543329711678,0.2195495644540552,0.19570113814183276,-0.03575331384967241,0.1305528630577351,0.08809435432943599,0.07518489289381235,-0.0017953747147884823,-0.019155316056160207,-0.003286823616824399,552.152071309866,-6.403884000905643,0.001051678910789001,8.359024489172349,179363.4177946287,204.14772470832636,770.238844036708,1079482.3410927285,1.4081112637365414,8.202637607948542,282.9472084908541,0.10142074261403383,1361.878814059558,6077.510439256215,1257.9538096478818,-0.36603026185459864,-0.16594091100165453,0.7376582332065318,5480
ls-1098,female,3,168.79398272447062,448.72860592241994,1832.8187958599187,2968.554455533681,4206.8071303719025,5338.961370338726,14.684690374206031,0.8979998174409902,0.14281483995749114,0.33353252915990395,0.11415567200749602,0.1309471925446466,-0.05355158392238361,0.05772781399345602,0.0011144617274446444,-0.13121020142040665,-0.02105642889994772,-0.0214992693192672,-0.029046005125622408,733.7154543018271,-7.166122811757683,0.0024327932609261383,3.036871017265415,132050.8263245302,289.78051092385687,588.577819147084,1036574.2465313245,1.0751544572647926,10.93314419248843,196.26140395192712,0.10098840041006822,1409.2191478228187,6504.997334897984,884.6081787995166,-0.47789041316150543,0.9536152406253176,0.9623993972816282,6200
ls-110,female,4,172.67195214233112,383.91941515043357,1777.2126194383104,2941.5775456152805,4159.702474055146,4705.7503480215455,14.830209867314725,0.7651916498665435,0.046498538425784386,0.4019138511502084,0.09404578425651933,0.2608557025829795,-0.04946874280206792,0.11527551224437188,0.055373044242883085,-0.08638749918028621,-0.003023700723271057,-0.026411518817245506,-0.022522943017529884,683.7578082340054,-6.756136667447706,0.002291831412466417,7.403370210155471,189578.13467101072,298.3254342240326,684.8882285358743,1276088.4768210053,1.3666770453929715,17.174541823947614,259.03896538299966,0.09283077664348383,1374.021883683778,3805.266692643257,946.1944621166837,0.5823704139843967,1.370047482388192,0.10078123978097873,3400
ls-1107,male,1,143.2170581955156,454.05795945238464,1667.103442201898,2601.5435477669125,3829.8054580599587,4818.096761819258,16.235299460753357,0.5624730489477238,-0.09986929539296804,0.05639699492087584,0.09116690876071537,0.2247469841887386,-0.037853929487686025,-0.003870966229872866,0.006462473268308412,0.05581969572568209,-0.12957891993209636,-0.09719062875287572,-0.033730303766712384,1006.4634050226362,-5.84863618454154,0.01581038352729216,-2.5619232260733837,129213.23592175714,297.98783757657577,507.9297208171538,770692.8042730414,0.7621440059509323,15.88853089282189,243.11720326996502,0.08799962514916326,1152.4143197143292,4244.8419710746475,975.4061745623881,0.38517820574739614,2.15369745653777,0.17199914577458697,3920
